,end_date,Name,Market value,Share,symbol,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
509,201606,DOLLAR TREE INC,1259249,13362151,DLTR,5085800000.0,418700000.0,232700000.0,0.99,0.98,0.0,16060900000.0,4172100000.0,2049100000.0,929700000.0,4669600000.0,311000000.0,-92800000.0,-24800000.0
510,201609,DOLLAR TREE INC,1214950,15392747,DLTR,4996300000.0,357200000.0,170200000.0,0.72,0.72,0.0,16329400000.0,4449400000.0,2180000000.0,1093200000.0,4856900000.0,680300000.0,-272400000.0,-51900000.0
511,201612,DOLLAR TREE INC,719019,9316134,DLTR,5001600000.0,342400000.0,171600000.0,0.73,0.72,0.0,16195000000.0,4342400000.0,2134200000.0,733800000.0,5047700000.0,655300000.0,-368300000.0,-290000000.0
517,201703,DOLLAR TREE INC,513471,6544364,DLTR,20719200000.0,1704800000.0,896200000.0,3.8,3.78,0.0,15701600000.0,3938000000.0,2105900000.0,866400000.0,5389500000.0,1673300000.0,-483600000.0,-1060500000.0
512,201803,DOLLAR TREE INC,602082,6344385,DLTR,22245500000.0,1999100000.0,1714300000.0,7.24,7.21,0.0,16332800000.0,4576300000.0,2859100000.0,1097800000.0,7182300000.0,1510200000.0,-627900000.0,-651500000.0
516,201806,DOLLAR TREE INC,614854,7233575,DLTR,5553700000.0,437600000.0,160500000.0,0.68,0.67,0.0,15827100000.0,4042000000.0,1917200000.0,475200000.0,7355700000.0,387600000.0,-181100000.0,-828800000.0
528,201506,ELECTRONIC ARTS INC,52830,794440,EA,1203000000.0,512000000.0,442000000.0,1.42,1.32,0.0,5721000000.0,3326000000.0,2029000000.0,1810000000.0,3336000000.0,-71000000.0,-140000000.0,-47000000.0
526,201509,ELECTRONIC ARTS INC,595022,8782612,EA,815000000.0,-119000000.0,-140000000.0,-0.45,-0.45,0.0,6000000000.0,3646000000.0,2525000000.0,1598000000.0,3146000000.0,-62000000.0,-80000000.0,-307000000.0
520,201512,ELECTRONIC ARTS INC,442805,6443613,EA,1070000000.0,-31000000.0,-45000000.0,-0.14,-0.14,0.0,6470000000.0,4152000000.0,3145000000.0,2263000000.0,3012000000.0,827000000.0,-83000000.0,-518000000.0
518,201603,ELECTRONIC ARTS INC,126313,1910643,EA,4396000000.0,898000000.0,1156000000.0,3.73,3.5,0.0,7050000000.0,4354000000.0,2418000000.0,2493000000.0,3396000000.0,1223000000.0,-484000000.0,-306000000.0
522,201606,ELECTRONIC ARTS INC,269354,3555356,EA,1271000000.0,560000000.0,440000000.0,1.46,1.4,0.0,6605000000.0,3972000000.0,1650000000.0,2042000000.0,3716000000.0,-248000000.0,-81000000.0,-119000000.0
523,201609,ELECTRONIC ARTS INC,736064,8619020,EA,898000000.0,-49000000.0,-38000000.0,-0.13,-0.13,0.0,6892000000.0,4260000000.0,2050000000.0,1746000000.0,3608000000.0,-139000000.0,-249000000.0,-351000000.0
